Date,ID,Click Cost
2015-01-10 16:12:47,8992805032050157568,0.001459
2015-01-10 16:12:47,8992805032050157568,0.001459
2015-01-10 16:12:47,8992805032050157568,0.001459
2015-01-10 16:12:47,8992805032050157568,0.001459
2025-03-01 10:15:25,5544332211889900333,0.007635
2025-03-01 11:20:30,2873649201837462387,0.005612
2025-03-01 12:45:10,3928475630182745639,0.004791
2025-03-01 13:30:50,4738291547826348951,0.006174
2025-03-01 14:05:15,5872639481273649281,0.003859
2025-03-01 15:25:35,7643892786348291864,0.006043
2025-03-01 16:00:40,2837469871537462852,0.007420
2025-03-01 17:10:25,8392175847561293476,0.004277
2025-03-01 18:20:55,9283746853928471237,0.005064
2025-03-01 19:05:25,1847628394759283749,0.003624
2025-03-01 20:15:40,5647382918374659201,0.005210
2025-03-01 21:30:10,8291746389274657384,0.004895
2025-03-01 22:45:55,1029384756102837465,0.006973
2025-03-01 23:00:15,2376481947382928371,0.003843
2025-03-01 00:15:45,3893475617383928472,0.004502
2025-03-01 01:25:30,4837265927485672936,0.007013
2025-03-01 02:10:20,9382475637283496574,0.003667
2025-03-01 03:05:50,7846382917238465192,0.004328
2025-03-01 04:30:35,1928364720102846573,0.005891
2025-03-01 05:25:40,3748291847562947856,0.007151
2025-03-01 06:10:25,1928374650192837465,0.003775
2025-03-01 07:15:05,8392746581937464857,0.004622
2025-03-01 08:00:15,6298475647382928376,0.006114
2025-03-01 09:35:20,3475637291847562847,0.005443
2025-03-02 10:15:25,5544332211889900333,0.007635
2025-03-02 11:20:30,2873649201837462387,0.005612
2025-03-02 12:45:10,3928475630182745639,0.004791
2025-03-02 13:30:50,4738291547826348951,0.006174
2025-03-02 14:05:15,5872639481273649281,0.003859
2025-03-02 15:25:35,7643892786348291864,0.006043
2025-03-02 16:00:40,2837469871537462852,0.007420
2025-03-02 17:10:25,8392175847561293476,0.004277
2025-03-02 18:20:55,9283746853928471237,0.005064
2025-03-02 19:05:25,1847628394759283749,0.003624
2025-03-02 20:15:40,5647382918374659201,0.005210
2025-03-02 21:30:10,8291746389274657384,0.004895
2025-03-02 22:45:55,1029384756102837465,0.006973
2025-03-02 23:00:15,2376481947382928371,0.003843
2025-03-02 00:15:45,3893475617383928472,0.004502
2025-03-02 01:25:30,4837265927485672936,0.007013
2025-03-02 02:10:20,9382475637283496574,0.003667
2025-03-02 03:05:50,7846382917238465192,0.004328
2025-03-02 04:30:35,1928364720102846573,0.005891
2025-03-02 05:25:40,3748291847562947856,0.007151
2025-03-02 06:10:25,1928374650192837465,0.003775
2025-03-02 07:15:05,8392746581937464857,0.004622
2025-03-02 08:00:15,6298475647382928376,0.006114
2025-03-02 09:35:20,3475637291847562847,0.005443
2025-03-02 09:45:00,4726393284729837462,0.003987
2025-03-02 10:30:40,2938475632187423856,0.004582
2025-03-02 11:50:25,6483928475630192839,0.005011
2025-03-03 10:15:25,5544332211889900333,0.007635
2025-03-03 11:20:30,2873649201837462387,0.005612
2025-03-03 12:45:10,3928475630182745639,0.004791
2025-03-03 13:30:50,4738291547826348951,0.006174
2025-03-03 14:05:15,5872639481273649281,0.003859
2025-03-03 15:25:35,7643892786348291864,0.006043
2025-03-03 16:00:40,2837469871537462852,0.007420
2025-03-03 17:10:25,8392175847561293476,0.004277
2025-03-03 18:20:55,9283746853928471237,0.005064
2025-03-03 19:05:25,1847628394759283749,0.003624
2025-03-03 20:15:40,5647382918374659201,0.005210
2025-03-03 21:30:10,8291746389274657384,0.004895
2025-03-03 22:45:55,1029384756102837465,0.006973
2025-03-03 23:00:15,2376481947382928371,0.003843
2025-03-03 00:15:45,3893475617383928472,0.004502
2025-03-03 01:25:30,4837265927485672936,0.007013
2025-03-03 02:10:20,9382475637283496574,0.003667
2025-03-03 03:05:50,7846382917238465192,0.004328
2025-03-03 04:30:35,1928364720102846573,0.005891
2025-03-03 05:25:40,3748291847562947856,0.007151
2025-03-03 06:10:25,1928374650192837465,0.003775
2025-03-03 07:15:05,8392746581937464857,0.004622
2025-03-03 08:00:15,6298475647382928376,0.006114
2025-03-03 09:35:20,3475637291847562847,0.005443
2025-03-03 09:45:00,4726393284729837462,0.003987
2025-03-03 10:30:40,2938475632187423856,0.004582
2025-03-03 11:50:25,6483928475630192839,0.005011
2025-03-03 12:40:00,2389475630917283647,0.004293
2025-03-03 13:55:30,9385728475630912837,0.003502
2025-03-03 14:45:50,2398475623847562918,0.007110
2025-03-03 15:35:10,3847562938475623817,0.005846
2025-03-03 16:25:45,6473829471937464728,0.006627
2025-03-03 17:05:00,3846272938573628475,0.003740
2025-03-03 18:15:30,4927385618394726492,0.007582
2025-03-03 19:25:10,3847659298475623927,0.005034
2025-03-03 20:05:45,3847562398473628491,0.004221
2025-03-03 21:10:55,8273648475639182738,0.005992
2025-03-03 22:25:40,8372639474638293842,0.003584
2025-03-03 23:35:15,9238475630287461827,0.006048
2025-03-03 00:45:25,2837465738294738471,0.007202
2025-03-03 01:50:35,2837469387294728475,0.004688
2025-03-03 02:40:45,8291738475630928371,0.005306
2025-03-03 03:25:00,2837463928475639283,0.003825
2025-03-03 04:15:30,1937468374628473728,0.006173
2025-03-03 05:05:45,4938273649275639475,0.004942
2025-03-03 06:25:10,4937286498275638472,0.005251
2025-03-04 10:15:25,5544332211889900333,0.007635
2025-03-04 11:20:30,2873649201837462387,0.005612
2025-03-04 12:45:10,3928475630182745639,0.004791
2025-03-04 13:30:50,4738291547826348951,0.006174
2025-03-04 14:05:15,5872639481273649281,0.003859
2025-03-04 15:25:35,7643892786348291864,0.006043
2025-03-04 16:00:40,2837469871537462852,0.007420
2025-03-04 17:10:25,8392175847561293476,0.004277
2025-03-04 18:20:55,9283746853928471237,0.005064
2025-03-04 19:05:25,1847628394759283749,0.003624
2025-03-04 20:15:40,5647382918374659201,0.005210
2025-03-04 21:30:10,8291746389274657384,0.004895
2025-03-04 22:45:55,1029384756102837465,0.006973
2025-03-04 23:00:15,2376481947382928371,0.003843
2025-03-04 00:15:45,3893475617383928472,0.004502
2025-03-04 01:25:30,4837265927485672936,0.007013
2025-03-04 02:10:20,9382475637283496574,0.003667
2025-03-04 03:05:50,7846382917238465192,0.004328
2025-03-04 04:30:35,1928364720102846573,0.005891
2025-03-04 05:25:40,3748291847562947856,0.007151
2025-03-04 06:10:25,1928374650192837465,0.003775
2025-03-04 07:15:05,8392746581937464857,0.004622
2025-03-04 08:00:15,6298475647382928376,0.006114
2025-03-04 09:35:20,3475637291847562847,0.005443
2025-03-04 09:45:00,4726393284729837462,0.003987
2025-03-04 10:30:40,2938475632187423856,0.004582
2025-03-04 11:50:25,6483928475630192839,0.005011
2025-03-04 12:40:00,2389475630917283647,0.004293
2025-03-04 13:55:30,9385728475630912837,0.003502
2025-03-04 14:45:50,2398475623847562918,0.007110
2025-03-04 15:35:10,3847562938475623817,0.005846
2025-03-04 16:25:45,6473829471937464728,0.006627
2025-03-04 17:05:00,3846272938573628475,0.003740
2025-03-04 18:15:30,4927385618394726492,0.007582
2025-03-04 19:25:10,3847659298475623927,0.005034
2025-03-04 20:05:45,3847562398473628491,0.004221
2025-03-04 21:10:55,8273648475639182738,0.005992
2025-03-04 22:25:40,8372639474638293842,0.003584
2025-03-04 23:35:15,9238475630287461827,0.006048
2025-03-04 00:45:25,2837465738294738471,0.007202
2025-03-04 01:50:35,2837469387294728475,0.004688
2025-03-04 02:40:45,8291738475630928371,0.005306
2025-03-04 03:25:00,2837463928475639283,0.003825
2025-03-04 04:15:30,1937468374628473728,0.006173
2025-03-04 05:05:45,4938273649275639475,0.004942
2025-03-04 06:25:10,4937286498275638472,0.005251
